Image Name,Input,Expected Output
crawford.jpg,When was this piece created?,1964
crawford.jpg,What techniques and tools were used to create this painting?,Oil painting and Airbrush
crawford.jpg,What was the significance behind creating this painting?,Critique of Celebrity Culture and commentary on mass media and culture
philips.jpg,When was this piece created?,1956
philips.jpg,What techniques and tools were used to create this painting?,Magazine and printed imagery with adhesive and blue
philips.jpg,What was the significance behind creating this painting?,commentary on postwar consumer culture
crawford_blurry.jpg,When was this piece created?,1964
crawford_blurry.jpg,What techniques and tools were used to create this painting?,Oil painting and Airbrush
crawford_blurry.jpg,What was the significance behind creating this painting?,Critique of Celebrity Culture and commentary on mass media and culture
philips_blurry.jpg,When was this piece created?,1956
philips_blurry.jpg,What techniques and tools were used to create this painting?,Magazine and printed imagery with adhesive and blue
philips_blurry.jpg,What was the significance behind creating this painting?,commentary on postwar consumer culture
crawfordbw.jpg,When was this piece created?,1964
crawfordbw.jpg,What techniques and tools were used to create this painting?,Oil painting and Airbrush
crawfordbw.jpg,What was the significance behind creating this painting?,Critique of Celebrity Culture and commentary on mass media and culture
philipsbw.jpg,When was this piece created?,1956
philipsbw.jpg,What techniques and tools were used to create this painting?,Magazine and printed imagery with adhesive and blue
philipsbw.jpg,What was the significance behind creating this painting?,commentary on postwar consumer culture
crawfordbbw.jpg,When was this piece created?,1964
crawfordbbw.jpg,What techniques and tools were used to create this painting?,Oil painting and Airbrush
crawfordbbw.jpg,What was the significance behind creating this painting?,Critique of Celebrity Culture and commentary on mass media and culture
philipsbbw.jpg,When was this piece created?,1956
philipsbbw.jpg,What techniques and tools were used to create this painting?,Magazine and printed imagery with adhesive and blue
philipsbbw.jpg,What was the significance behind creating this painting?,commentary on postwar consumer culture
crawford_dark.jpg,When was this piece created?,1964
crawford_dark.jpg,What techniques and tools were used to create this painting?,Oil painting and Airbrush
crawford_dark.jpg,What was the significance behind creating this painting?,Critique of Celebrity Culture and commentary on mass media and culture
philips_dark.jpg,When was this piece created?,1956
philips_dark.jpg,What techniques and tools were used to create this painting?,Magazine and printed imagery with adhesive and blue
philips_dark.jpg,What was the significance behind creating this painting?,commentary on postwar consumer culture
crawford_blurry_dark.jpg,When was this piece created?,1964
crawford_blurry_dark.jpg,What techniques and tools were used to create this painting?,Oil painting and Airbrush
crawford_blurry_dark.jpg,What was the significance behind creating this painting?,Critique of Celebrity Culture and commentary on mass media and culture
philips_blurry_dark.jpg,When was this piece created?,1956
philips_blurry_dark.jpg,What techniques and tools were used to create this painting?,Magazine and printed imagery with adhesive and blue
philips_blurry_dark.jpg,What was the significance behind creating this painting?,commentary on postwar consumer culture
crawfordbwd.jpg,When was this piece created?,1964
crawfordbwd.jpg,What techniques and tools were used to create this painting?,Oil painting and Airbrush
crawfordbwd.jpg,What was the significance behind creating this painting?,Critique of Celebrity Culture and commentary on mass media and culture
philipsbwd.jpg,When was this piece created?,1956
philipsbwd.jpg,What techniques and tools were used to create this painting?,Magazine and printed imagery with adhesive and blue
philipsbwd.jpg,What was the significance behind creating this painting?,commentary on postwar consumer culture
crawfordbbwd.jpg,When was this piece created?,1964
crawfordbbwd.jpg,What techniques and tools were used to create this painting?,Oil painting and Airbrush
crawfordbbwd.jpg,What was the significance behind creating this painting?,Critique of Celebrity Culture and commentary on mass media and culture
philipsbbwd.jpg,When was this piece created?,1956
philipsbbwd.jpg,What techniques and tools were used to create this painting?,Magazine and printed imagery with adhesive and blue
philipsbbwd.jpg,What was the significance behind creating this painting?,commentary on postwar consumer culture
crawford_light.jpg,When was this piece created?,1964
crawford_light.jpg,What techniques and tools were used to create this painting?,Oil painting and Airbrush
crawford_light.jpg,What was the significance behind creating this painting?,Critique of Celebrity Culture and commentary on mass media and culture
philips_light.jpg,When was this piece created?,1956
philips_light.jpg,What techniques and tools were used to create this painting?,Magazine and printed imagery with adhesive and blue
philips_light.jpg,What was the significance behind creating this painting?,commentary on postwar consumer culture
crawford_blurry_light.jpg,When was this piece created?,1964
crawford_blurry_light.jpg,What techniques and tools were used to create this painting?,Oil painting and Airbrush
crawford_blurry_light.jpg,What was the significance behind creating this painting?,Critique of Celebrity Culture and commentary on mass media and culture
philips_blurry_light.jpg,When was this piece created?,1956
philips_blurry_light.jpg,What techniques and tools were used to create this painting?,Magazine and printed imagery with adhesive and blue
philips_blurry_light.jpg,What was the significance behind creating this painting?,commentary on postwar consumer culture
